iter	RMSE
0	11539.83232
1	11261.95622
2	10980.02805
3	10730.36224
4	10469.68663
5	10239.29091
6	9994.517644
7	9764.203461
8	9544.60387
9	9343.115925
10	9151.092365
11	8964.358434
12	8802.208267
13	8614.286032
14	8452.690317
15	8284.231266
16	8130.52722
17	7992.096819
18	7855.655094
19	7724.807706
20	7587.179055
21	7456.02986
22	7330.364992
23	7213.117928
24	7106.124481
25	7006.237006
26	6907.599462
27	6814.872131
28	6721.573459
29	6625.687438
30	6545.898574
31	6456.097547
32	6368.552222
33	6285.903919
34	6214.777615
35	6160.487399
36	6084.453214
37	6044.393821
38	5982.903006
39	5944.658483
40	5912.6205
41	5855.604427
42	5827.473724
43	5758.605738
44	5697.799013
45	5635.742737
46	5573.671211
47	5517.997268
48	5464.723532
49	5409.322619
50	5357.43146
51	5309.96433
52	5270.287342
53	5224.34287
54	5186.208136
55	5156.420308
56	5127.1835
57	5094.05319
58	5065.226192
59	5021.263063
60	4993.986094
61	4971.608102
62	4940.177167
63	4910.031009
64	4886.087061
65	4861.985169
66	4834.251983
67	4814.270153
68	4780.950733
69	4746.309516
70	4721.714863
71	4697.986136
72	4677.058087
73	4652.282036
74	4632.046861
75	4614.704705
76	4593.479268
77	4574.616497
78	4555.532278
79	4545.422829
80	4527.469265
81	4513.698662
82	4495.173608
83	4478.936231
84	4453.999416
85	4443.425672
86	4420.464085
87	4399.554887
88	4377.683048
89	4368.914143
90	4357.260936
91	4340.585057
92	4323.705315
93	4317.506638
94	4297.682728
95	4290.482299
96	4270.239699
97	4263.21429
98	4253.616009
99	4237.963932
100	4232.371123
101	4224.465684
102	4221.710617
103	4215.87883
104	4202.139466
105	4197.095354
106	4182.587809
107	4167.609643
108	4161.963445
109	4155.985215
110	4141.066755
111	4125.608428
112	4122.059451
113	4112.974884
114	4100.137274
115	4087.851545
116	4075.247774
117	4062.591378
118	4052.040728
119	4039.260895
120	4027.471604
121	4014.544219
122	4011.640704
123	4008.919522
124	4004.430023
125	3992.59671
126	3989.818179
127	3987.694433
128	3985.324306
129	3971.394919
130	3962.747029
131	3954.946815
132	3943.945292
133	3933.128152
134	3926.616818
135	3924.388618
136	3914.533191
137	3912.067184
138	3902.483745
139	3893.054052
140	3891.435311
141	3882.911203
142	3880.226749
143	3869.266649
144	3867.301152
145	3860.679753
146	3851.613536
147	3842.969916
148	3838.040831
149	3836.483958
150	3833.910657
151	3825.571542
152	3815.808785
153	3807.982507
154	3801.99295
155	3800.968924
156	3799.651585
157	3798.354609
158	3798.344706
159	3794.226515
160	3791.357347
161	3789.168074
162	3784.308961
163	3775.500184
164	3768.695934
165	3767.542274
166	3765.352124
167	3764.806982
168	3761.605178
169	3753.308131
170	3749.106761
171	3749.086154
172	3741.900055
173	3734.432952
174	3727.234136
175	3722.063801
176	3715.941234
177	3706.347174
178	3700.883763
179	3691.002219
180	3690.116761
181	3684.736926
182	3682.872459
183	3682.046002
184	3675.629718
185	3673.721475
186	3666.281036
187	3658.347391
188	3652.624713
189	3642.972907
190	3637.014319
191	3631.199915
192	3629.598694
193	3628.803931
194	3628.138943
195	3625.807021
196	3623.92521
197	3619.837644
198	3611.122454
199	3605.097425
200	3596.67712
201	3589.962544
202	3586.630675
203	3586.614353
204	3584.379696
205	3579.71086
206	3574.964455
207	3568.887927
208	3564.463395
209	3557.373838
210	3557.351314
211	3549.193446
212	3543.889548
213	3538.176068
214	3531.436424
215	3523.365162
216	3517.210855
217	3511.108755
218	3510.627116
219	3504.310949
220	3499.952346
221	3492.516869
222	3491.590148
223	3486.018256
224	3480.595621
225	3474.154522
226	3469.778331
227	3467.981106
228	3461.801379
229	3456.63413
230	3451.425
231	3445.794279
232	3442.869505
233	3441.109726
234	3439.783695
235	3432.491464
236	3431.919451
237	3426.23611
238	3425.499525
239	3424.964323
240	3419.218798
241	3414.317127
242	3410.294257
243	3404.961962
244	3400.545162
245	3395.267931
246	3391.249061
247	3390.016089
248	3386.519299
249	3382.040751
250	3378.787585
251	3375.656721
252	3371.017486
253	3366.954413
254	3364.006161
255	3359.635076
256	3359.628075
257	3356.221444
258	3353.159601
259	3352.64429
260	3346.270428
261	3342.915146
262	3338.152267
263	3334.65108
264	3333.420273
265	3329.111984
266	3328.249363
267	3325.541995
268	3324.64382
269	3324.303848
270	3319.619086
271	3316.689151
272	3311.963697
273	3308.403811
274	3308.075241
275	3305.763885
276	3301.764993
277	3297.926622
278	3296.112577
279	3292.062846
280	3287.788743
281	3285.167847
282	3280.993069
283	3276.653078
284	3272.459002
285	3267.033976
286	3263.729717
287	3259.496687
288	3256.845917
289	3256.582461
290	3253.368197
291	3249.775848
292	3245.348906
293	3241.005784
294	3237.066734
295	3232.963278
296	3228.582955
297	3225.326143
298	3223.266247
299	3220.882307
300	3217.897321
301	3217.870249
302	3216.426025
303	3212.833859
304	3209.54784
305	3207.074686
306	3204.336399
307	3200.466215
308	3198.70151
309	3196.065129
310	3192.860651
311	3191.723075
312	3189.813481
313	3186.674692
314	3185.546048
315	3182.49721
316	3179.290396
317	3179.002757
318	3176.391822
319	3172.918732
320	3169.342715
321	3167.678065
322	3164.450329
323	3162.051025
324	3160.180034
325	3156.365727
326	3154.9404
327	3153.192304
328	3150.099182
329	3147.050615
330	3145.603085
331	3142.590804
332	3139.941054
333	3134.896633
334	3131.417671
335	3124.470382
336	3122.878377
337	3119.760237
338	3117.829594
339	3114.877096
340	3114.768107
341	3112.368099
342	3111.368623
343	3109.824917
344	3108.087897
345	3100.8418
346	3098.054081
347	3095.274641
348	3093.370883
349	3087.480296
350	3084.991528
351	3083.80972
352	3083.789795
353	3080.729613
354	3077.787964
355	3075.079885
356	3071.49748
357	3071.340074
358	3068.040991
359	3064.596489
360	3063.6889
361	3062.530941
362	3059.780311
363	3055.566299
364	3053.322229
365	3052.853769
366	3050.071254
367	3043.668503
368	3041.516098
369	3035.270661
370	3034.31961
371	3033.582265
372	3032.891263
373	3029.077361
374	3024.237892
375	3020.73327
376	3019.178418
377	3017.125817
378	3015.915118
379	3013.750849
380	3006.967462
381	3005.904068
382	3003.097099
383	3001.236473
384	2999.635372
385	2996.324463
386	2995.25156
387	2994.575285
388	2991.767856
389	2990.386943
390	2989.747698
391	2987.872174
392	2985.122459
393	2982.490156
394	2976.595549
395	2975.757297
396	2975.047211
397	2974.364761
398	2971.839264
399	2969.903833
400	2968.719824
401	2967.724836
402	2966.037193
403	2963.823967
404	2963.440965
405	2961.417597
406	2958.320575
407	2955.305015
408	2953.549562
409	2952.260821
410	2949.152484
411	2946.859624
412	2945.941321
413	2943.197032
414	2940.763627
415	2938.984903
416	2934.778367
417	2932.672716
418	2931.470659
419	2930.628842
420	2929.26155
421	2928.083829
422	2925.017777
423	2923.253793
424	2919.925972
425	2919.26914
426	2918.459303
427	2916.126765
428	2915.300568
429	2913.336067
430	2911.828333
431	2908.964774
432	2908.187624
433	2907.657805
434	2906.374083
435	2900.59212
436	2898.829205
437	2896.795868
438	2895.356975
439	2888.140465
440	2886.074032
441	2882.004902
442	2881.59886
443	2880.22329
444	2876.398107
445	2874.34228
446	2871.959844
447	2869.178764
448	2866.513087
449	2864.706874
450	2862.336255
451	2859.602284
452	2857.912632
453	2855.234554
454	2852.933999
455	2852.101316
456	2850.101452
457	2848.379985
458	2846.118762
459	2844.701239
460	2842.509361
461	2840.164614
462	2837.27225
463	2834.847554
464	2829.125851
465	2826.588247
466	2825.89036
467	2824.435564
468	2823.512398
469	2822.878218
470	2821.811173
471	2821.473755
472	2819.35602
473	2818.397881
474	2817.098758
475	2815.979895
476	2813.690778
477	2812.086362
478	2810.020743
479	2809.455769
480	2807.593764
481	2807.277146
482	2804.755144
483	2800.531617
484	2798.691188
485	2796.10274
486	2792.05258
487	2790.345462
488	2788.919341
489	2784.453124
490	2783.460833
491	2782.039865
492	2781.661996
493	2778.846252
494	2776.513728
495	2775.301955
496	2773.955491
497	2772.260224
498	2771.807559
499	2771.256105
500	2768.700322
501	2768.470651
502	2766.087764
503	2764.641377
504	2763.786973
505	2763.67192
506	2761.447318
507	2760.218875
508	2760.105534
509	2755.873011
510	2754.888848
511	2753.614391
512	2752.347809
513	2750.624787
514	2750.156316
515	2749.411685
516	2747.364732
517	2746.657629
518	2744.958741
519	2744.458274
520	2743.763028
521	2741.25239
522	2739.1192
523	2738.722583
524	2738.054144
525	2736.546094
526	2735.163015
527	2734.525588
528	2733.567928
529	2729.843423
530	2729.236363
531	2726.448774
532	2725.346238
533	2724.764812
534	2722.982941
535	2722.428443
536	2721.449724
537	2720.088401
538	2718.715524
539	2717.505142
540	2716.975803
541	2715.591016
542	2714.270416
543	2711.968916
544	2710.619289
545	2709.142565
546	2707.981564
547	2702.346525
548	2700.563152
549	2700.060775
550	2699.623709
551	2698.944645
552	2697.866325
553	2694.561006
554	2693.93575
555	2691.735334
556	2690.756979
557	2686.971663
558	2686.704443
559	2686.35647
560	2685.669821
561	2684.570323
562	2682.982137
563	2681.444711
564	2681.069486
565	2680.021006
566	2677.698779
567	2675.854599
568	2675.324453
569	2674.186359
570	2672.184915
571	2670.450863
572	2669.239422
573	2668.083776
574	2666.301984
575	2666.019355
576	2663.325639
577	2662.288379
578	2661.029662
579	2659.285177
580	2658.29049
581	2657.708802
582	2656.552432
583	2655.162016
584	2654.639997
585	2654.127508
586	2653.268884
587	2652.018646
588	2651.53811
589	2650.646521
590	2649.76666
591	2648.214025
592	2647.935964
593	2646.86232
594	2645.998627
595	2645.831484
596	2645.306426
597	2644.66165
598	2643.106555
599	2641.353058
600	2640.068609
601	2639.553932
602	2638.681359
603	2637.843263
