iter	Passed	Remaining
0	204	1024537
1	468	1170364
2	643	1072653
3	808	1009884
4	985	984777
5	1212	1009263
6	1462	1042939
7	1620	1011197
8	1777	985922
9	2163	1079697
10	2352	1067149
11	2505	1041290
12	2660	1020514
13	2807	999762
14	2954	982038
15	3109	968589
16	3329	976069
17	3473	961292
18	3629	951591
19	3779	941041
20	3983	944490
21	4149	938876
22	4341	939449
23	4499	932926
24	4674	930228
25	4856	929098
26	5081	936011
27	5228	928361
28	5377	921702
29	5561	921355
30	5722	917235
31	5909	917453
32	6077	914749
33	6236	910924
34	6417	910297
35	6642	915921
36	6793	911301
37	7078	924278
38	7223	918926
39	7375	914555
40	7520	909555
41	7712	910484
42	7895	910232
43	8051	906920
44	8221	905331
45	8416	906376
46	8557	901831
47	8710	898659
48	8868	896051
49	9039	894869
50	9258	898471
51	9460	900195
52	9614	897380
53	9736	891786
54	9908	890857
55	10069	888993
56	10230	887221
57	10391	885451
58	10556	884088
59	10747	884862
60	10925	884608
61	11093	883565
62	11237	880637
63	11413	880268
64	11547	876725
65	11711	875554
66	11881	874761
67	12052	874132
68	12222	873483
69	12391	872686
70	12661	879000
71	12801	876209
72	12959	874704
73	13182	877519
74	13375	878320
75	13544	877556
76	13689	875255
77	13887	876350
78	14081	877131
79	14291	878919
80	14474	878996
81	14658	879153
82	14846	879519
83	14990	877304
84	15188	878264
85	15359	877630
86	15529	876984
87	15680	875263
88	15848	874501
89	16010	873442
90	16158	871690
91	16372	873415
92	16533	872385
93	16698	871527
94	16861	870577
95	17013	869116
96	17165	867655
97	17306	865686
98	17483	865530
99	17638	864305
100	17793	863093
101	17961	862525
102	18199	865279
103	18430	867635
104	18585	866440
105	18739	865209
106	18922	865305
107	19099	865130
108	19298	865968
109	19465	865317
110	19639	865043
111	19864	866962
112	20031	866329
113	20190	865359
114	20402	866644
115	20571	866144
116	20783	867390
117	20943	866484
118	21107	865755
119	21282	865475
120	21421	863779
121	21595	863469
122	21790	863993
123	21952	863229
124	22090	861544
125	22255	860884
126	22405	859682
127	22570	859089
128	22738	858591
129	22910	858247
130	23056	856979
131	23235	856889
132	23384	855731
133	23552	855286
134	23799	857680
135	24022	859166
136	24163	857715
137	24306	856353
138	24516	857358
139	24713	857914
140	24910	858454
141	25093	858470
142	25314	859804
143	25469	858889
144	25633	858288
145	25799	857737
146	25982	857788
147	26177	858188
148	26345	857747
149	26500	856844
150	26672	856530
151	26850	856393
152	26986	854926
153	27150	854364
154	27307	853564
155	27479	853281
156	27647	852837
157	27813	852367
158	27968	851540
159	28138	851178
160	28303	850693
161	28463	850026
162	28562	847598
163	28737	847399
164	28827	844726
165	28995	844356
166	29191	844800
167	29420	846180
168	29672	848221
169	29830	847536
170	29985	846778
171	30182	847224
172	30372	847431
173	30588	848398
174	30665	845482
175	30847	845492
176	31006	844884
177	31166	844292
178	31345	844216
179	31577	845587
180	31718	844489
181	31874	843796
182	32045	843502
183	32223	843404
184	32384	842880
185	32554	842555
186	32729	842379
187	32892	841901
188	33088	842269
189	33240	841499
190	33382	840516
191	33548	840111
192	33714	839723
193	33885	839442
194	34040	838804
195	34212	838553
196	34386	838357
197	34472	836054
198	34616	835139
199	34733	833599
200	34906	833406
201	35172	835432
202	35349	835324
203	35497	834543
204	35676	834475
205	35881	835028
206	36022	834091
207	36179	833515
208	36349	833258
209	36506	832690
210	36638	831571
211	36803	831196
212	36969	830850
213	37133	830469
214	37201	827959
215	37375	827796
216	37525	827123
217	37679	826531
218	37836	826000
219	37990	825440
220	38162	825252
221	38320	824757
222	38496	824647
223	38639	823857
224	38791	823247
225	38991	823656
226	39122	822615
227	39280	822140
228	39359	820027
229	39524	819709
230	39677	819151
231	39838	818749
232	40008	818547
233	40169	818149
234	40339	817942
235	40508	817713
236	40577	815490
237	40883	818010
238	41022	817195
239	41147	816092
240	41274	815048
241	41475	815455
242	41663	815618
243	41821	815170
244	42042	815969
245	42220	815923
246	42370	815334
247	42526	814863
248	42687	814490
249	42886	814838
250	43036	814273
251	43194	813841
252	43356	813490
253	43526	813288
254	43685	812897
255	43839	812405
256	43957	811253
257	44113	810805
258	44284	810620
259	44445	810277
260	44598	809781
261	44762	809483
262	44930	809260
263	45043	808061
264	45231	808199
265	45396	807919
266	45550	807459
267	45707	807042
268	45776	805085
269	45957	805108
270	46109	804616
271	46343	805551
272	46531	805701
273	46675	805068
274	46840	804799
275	47047	805263
276	47333	807063
277	47477	806436
278	47662	806510
279	47812	805983
280	47972	805637
281	48200	806424
282	48372	806273
283	48503	805434
284	48680	805370
285	48821	804695
286	48984	804403
287	49137	803937
288	49305	803735
289	49454	803216
290	49609	802781
291	49770	802471
292	49957	802567
293	50105	802030
294	50236	801236
295	50397	800918
296	50545	800391
297	50694	799884
298	50781	798408
299	50943	798113
300	51110	797896
301	51276	797676
302	51432	797293
303	51524	795922
304	51687	795642
305	51793	794508
306	51978	794579
307	52123	794043
308	52259	793363
309	52403	792819
310	52668	794094
311	52853	794157
312	52992	793529
313	53153	793240
314	53304	792797
315	53522	793353
316	53653	792622
317	53833	792601
318	54033	792893
319	54184	792450
320	54264	790972
321	54421	790629
322	54587	790421
323	54775	790520
324	54945	790369
325	55103	790048
326	55262	789730
327	55417	789361
328	55528	788372
329	55694	788157
330	55857	787904
331	56028	787778
332	56197	787607
333	56349	787208
334	56503	786833
335	56652	786386
336	56811	786093
337	57007	786292
338	57159	785901
339	57229	784383
340	57397	784202
341	57717	786111
342	57801	784784
343	57949	784345
344	58096	783877
345	58330	784591
346	58402	783138
347	58581	783104
348	58766	783160
349	58961	783350
350	59130	783187
351	59335	783497
352	59438	782461
353	59622	782504
354	59770	782064
355	59927	781751
356	60046	780943
357	60218	780824
358	60377	780539
359	60536	780246
360	60697	779984
361	60841	779511
362	61002	779252
363	61143	778741
364	61290	778308
365	61454	778091
366	61557	777099
367	61695	776555
368	61854	776277
369	62003	775878
370	62160	775576
371	62354	775746
372	62440	774566
373	62586	774134
374	62738	773778
375	62859	773036
376	62955	771997
377	63061	771086
378	63296	771753
379	63432	771203
380	63571	770694
381	63696	770023
382	63853	769739
383	63961	768871
384	64125	768672
385	64293	768524
386	64523	769107
387	64627	768199
388	64730	767280
389	64892	767067
390	65046	766747
391	65191	766332
392	65347	766048
393	65505	765781
394	65588	764645
395	65760	764548
396	65915	764252
397	66078	764048
398	66243	763872
399	66399	763599
400	66454	762156
401	66603	761793
402	66749	761403
403	66904	761118
404	67053	760765
405	67202	760418
406	67355	760102
407	67510	759820
408	67639	759249
409	67796	758984
410	67958	758790
411	68100	758362
412	68268	758230
413	68452	758266
414	68710	759122
415	68846	758640
416	68990	758231
417	69107	757535
418	69258	757210
